Sample	Picard_mqc-generalstats-picard-FOLD_ENRICHMENT	Picard_mqc-generalstats-picard-PCT_TARGET_BASES_30X	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-PCT_AMPLIFIED_BASES	Picard_mqc-generalstats-picard-MEDIAN_TARGET_COVERAGE	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AH_S1_L001	92046.219359	100.0	0.992408	95.6279	200.0					
AH_S1_L001.rmdup	53559.159894	32.4113		60.214999999999996	24.0					
AH_S1_L001_R1						96.5512	52.0	150.0	27.27272727272727	1000000.0
AH_S1_L001_R1.pe						96.36396790292234	52.0	142.61086419048803	18.181818181818183	981647.0
AH_S1_L001_R1.se						64.24478321980754	53.0	119.70818466861282	36.36363636363637	9249.0
AH_S1_L001_R2						96.0083	52.0	150.0	36.36363636363637	1000000.0
AH_S1_L001_R2.pe						96.08678068592886	52.0	147.20658648169862	36.36363636363637	981647.0
AH_S1_L001_R2.se						72.53512213643842	56.0	132.87406657385142	45.45454545454545	7901.0
CH_S2_L001	44634.300555	100.0	0.418553	78.9903	200.0					
CH_S2_L001.rmdup	39430.123007	100.0		72.18339999999999	200.0					
CH_S2_L001_R1						67.12532485123883	49.0	146.33898	18.181818181818183	1000000.0
CH_S2_L001_R1.pe						67.05382455431007	48.0	139.71148079812275	27.27272727272727	957146.0
CH_S2_L001_R1.se						10.219744178419148	50.0	121.11754673663496	9.090909090909092	30490.0
CH_S2_L001_R2						65.43662671268997	49.0	146.39736	18.181818181818183	1000000.0
CH_S2_L001_R2.pe						65.88168163496925	48.0	138.92977873803997	18.181818181818183	957146.0
CH_S2_L001_R2.se						8.145542486534012	54.0	114.92898757832252	0.0	9097.0
