Module	Section	Sample Name	Source
Picard	HsMetrics	AH_S1_L001.rmdup	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.hs_metrics_rmdup.txt
Picard	HsMetrics	CH_S2_L001.rmdup	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/CH_S2_L001.hs_metrics_rmdup.txt
Picard	HsMetrics	AH_S1_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.hs_metrics.txt
Picard	HsMetrics	CH_S2_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/CH_S2_L001.hs_metrics.txt
Picard	DuplicationMetrics	CH_S2_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/mapping/dedup/CH_S2_L001.rmdup.Stats.txt
Picard	DuplicationMetrics	AH_S1_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/mapping/dedup/AH_S1_L001.rmdup.Stats.txt
Picard	TargetedPcrMetrics	CH_S2_L001.rmdup	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/CH_S2_L001.metrics_amplicon_rmdup.txt
Picard	TargetedPcrMetrics	CH_S2_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/CH_S2_L001.metrics_amplicon.txt
Picard	TargetedPcrMetrics	AH_S1_L001.rmdup	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.metrics_amplicon_rmdup.txt
Picard	TargetedPcrMetrics	AH_S1_L001	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.metrics_amplicon.txt
FastQC	all_sections	AH_S1_L001_R2.se	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R2.se_fastqc.zip
FastQC	all_sections	CH_S2_L001_R1.pe	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R1.pe_fastqc.zip
FastQC	all_sections	AH_S1_L001_R1.se	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R1.se_fastqc.zip
FastQC	all_sections	CH_S2_L001_R2.se	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R2.se_fastqc.zip
FastQC	all_sections	AH_S1_L001_R2	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R2_fastqc.zip
FastQC	all_sections	AH_S1_L001_R2.pe	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R2.pe_fastqc.zip
FastQC	all_sections	AH_S1_L001_R1	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R1_fastqc.zip
FastQC	all_sections	CH_S2_L001_R2	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R2_fastqc.zip
FastQC	all_sections	CH_S2_L001_R1.se	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R1.se_fastqc.zip
FastQC	all_sections	AH_S1_L001_R1.pe	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/AH_S1_L001_R1.pe_fastqc.zip
FastQC	all_sections	CH_S2_L001_R2.pe	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R2.pe_fastqc.zip
FastQC	all_sections	CH_S2_L001_R1	/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/fastqc/CH_S2_L001_R1_fastqc.zip
