## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/bed_files/AH_S1_target.interval_list] TARGET_INTERVALS=[/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/bed_files/AH_S1_target.interval_list] INPUT=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/mapping/dedup/AH_S1_L001.rmdup.bam OUTPUT=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.hs_metrics_rmdup.txt PER_TARGET_COVERAGE=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.hs_perTargetCov_rmdup.txt REFERENCE_SEQUENCE=/storage/brno3-cerit/home/nikolato/ngs/references/references/human/hg19/hg19/uncompressed/ucsc.hg19.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 11 13:24:50 CET 2021

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
AH_S1_target	23498	1	687614	344485	681925	0.60215	0.39785	0.666229	29.262661	0.342683	0.206896	53559.159894		0	0	0	0	0	0	23498	3137161264	14904	14904	2006562	14904	14904	1714024	1714024	415149	1	1	1	17.667419	13	143	0	0	0	0.000039	0.058015	0.022008	0.320309	0.357451	1.963047	0.999957	0.999957	0.732743	0.267895	0.147204	0.062176	0.026513	0.008639	14.54686	2.839296	0.97551	16			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1	0
1	0	0
2	15	0
3	111	0
4	173	0
5	648	0
6	1295	0
7	1010	0
8	1432	0
9	1595	0
10	1612	0
11	1477	0
12	1515	0
13	1223	0
14	1129	14512
15	880	0
16	765	0
17	733	0
18	878	0
19	711	0
20	557	0
21	436	2802
22	315	0
23	335	0
24	166	0
25	230	0
26	181	0
27	196	9705
28	177	0
29	243	0
30	265	0
31	331	0
32	318	38101
33	274	0
34	207	0
35	187	0
36	116	364541
37	110	0
38	102	0
39	88	0
40	114	0
41	143	0
42	136	0
43	82	0
44	81	0
45	80	0
46	74	0
47	59	0
48	36	0
49	33	0
50	41	0
51	46	0
52	30	0
53	11	0
54	5	0
55	5	0
56	6	0
57	5	0
58	9	0
59	16	0
60	15	0
61	20	0
62	24	0
63	12	0
64	18	0
65	22	0
66	23	0
67	18	0
68	8	0
69	5	0
70	3	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	1	0
81	1	0
82	1	0
83	1	0
84	2	0
85	3	0
86	1	0
87	4	0
88	4	0
89	3	0
90	12	0
91	3	0
92	5	0
93	6	0
94	8	0
95	8	0
96	5	0
97	4	0
98	6	0
99	0	0
100	1	0
101	2	0
102	2	0
103	1	0
104	4	0
105	5	0
106	8	0
107	4	0
108	8	0
109	3	0
110	7	0
111	7	0
112	17	0
113	7	0
114	5	0
115	9	0
116	9	0
117	13	0
118	7	0
119	6	0
120	3	0
121	1	0
122	2	0
123	1	0
124	5	0
125	5	0
126	5	0
127	5	0
128	5	0
129	4	0
130	4	0
131	8	0
132	6	0
133	6	0
134	6	0
135	7	0
136	4	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	1	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0

