## htsjdk.samtools.metrics.StringHeader
# CollectTargetedPcrMetrics AMPLICON_INTERVALS=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/bed_files/AH_S1_target.interval_list TARGET_INTERVALS=[/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/bed_files/AH_S1_target.interval_list] INPUT=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/mapping/dedup/AH_S1_L001.rmdup.bam OUTPUT=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.metrics_amplicon_rmdup.txt PER_TARGET_COVERAGE=/storage/brno3-cerit/home/nikolato/ngs/data/sophia/Task_DNA/results2/picard_metrics/AH_S1_L001.perTargetCov_amplicon_rmdup.txt REFERENCE_SEQUENCE=/storage/brno3-cerit/home/nikolato/ngs/references/references/human/hg19/hg19/uncompressed/ucsc.hg19.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=1 MINIMUM_BASE_QUALITY=0 CLIP_OVERLAPPING_READS=false INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 11 13:25:03 CET 2021

## METRICS CLASS	picard.analysis.directed.TargetedPcrMetrics
CUSTOM_AMPLICON_SET	AMPLICON_TERRITORY	ON_AMPLICON_BASES	NEAR_AMPLICON_BASES	OFF_AMPLICON_BASES	PCT_AMPLIFIED_BASES	PCT_OFF_AMPLICON	ON_AMPLICON_VS_SELECTED	MEAN_AMPLICON_COVERAGE	FOLD_ENRICHMENT	PF_SELECTED_PAIRS	PF_SELECTED_UNIQUE_PAIRS	ON_TARGET_FROM_PAIR_BASES	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
AH_S1_target	23498	687614	344485	681925	0.60215	0.39785	0.666229	29.262661	53559.159894	4633	4633	687007	23498	3137161264	14904	14904	2006562	14904	14904	1714024	1714024	687007	1	1	1	29.236786	24	214	0	0	0	0.000039	0.032275	0	0	0.566871	1.827299	0.999957	0.999957	0.974381	0.655971	0.324113	0.207294	0.094731	0.016767	12.313113	2.062403	0.997124	25			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1	0
1	0	0
2	1	0
3	3	0
4	1	0
5	103	0
6	1	0
7	27	0
8	124	0
9	341	0
10	298	0
11	220	0
12	1199	0
13	566	0
14	555	21334
15	739	0
16	1066	0
17	904	0
18	952	0
19	983	0
20	845	0
21	754	4208
22	546	0
23	771	0
24	1302	0
25	727	0
26	719	0
27	847	15258
28	608	0
29	679	0
30	592	0
31	440	0
32	272	58798
33	267	0
34	352	0
35	135	0
36	178	587297
37	102	0
38	111	0
39	296	0
40	301	0
41	577	0
42	423	0
43	214	0
44	329	0
45	142	0
46	214	0
47	223	0
48	141	0
49	81	0
50	138	0
51	89	0
52	124	0
53	116	0
54	54	0
55	123	0
56	40	0
57	48	0
58	58	0
59	68	0
60	91	0
61	40	0
62	83	0
63	83	0
64	103	0
65	40	0
66	54	0
67	16	0
68	14	0
69	17	0
70	46	0
71	24	0
72	13	0
73	19	0
74	9	0
75	64	0
76	10	0
77	11	0
78	31	0
79	11	0
80	25	0
81	43	0
82	6	0
83	17	0
84	35	0
85	5	0
86	0	0
87	1	0
88	1	0
89	2	0
90	1	0
91	2	0
92	1	0
93	4	0
94	15	0
95	14	0
96	3	0
97	6	0
98	3	0
99	11	0
100	11	0
101	0	0
102	2	0
103	1	0
104	9	0
105	26	0
106	6	0
107	26	0
108	11	0
109	0	0
110	1	0
111	0	0
112	1	0
113	0	0
114	2	0
115	0	0
116	1	0
117	1	0
118	3	0
119	7	0
120	9	0
121	0	0
122	3	0
123	4	0
124	0	0
125	4	0
126	12	0
127	8	0
128	2	0
129	7	0
130	5	0
131	0	0
132	0	0
133	0	0
134	0	0
135	1	0
136	0	0
137	0	0
138	1	0
139	0	0
140	1	0
141	0	0
142	0	0
143	0	0
144	0	0
145	3	0
146	14	0
147	1	0
148	0	0
149	16	0
150	3	0
151	7	0
152	0	0
153	11	0
154	0	0
155	2	0
156	2	0
157	1	0
158	5	0
159	11	0
160	7	0
161	14	0
162	7	0
163	1	0
164	5	0
165	8	0
166	7	0
167	7	0
168	2	0
169	2	0
170	6	0
171	11	0
172	21	0
173	2	0
174	11	0
175	1	0
176	3	0
177	3	0
178	1	0
179	0	0
180	0	0
181	1	0
182	4	0
183	0	0
184	5	0
185	5	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	19	0

