chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	115252181	115252359	179	.	0.458101	1284.256983	0.899676	0.704044	0.964646	1005	1377	0	3070
chr1	115256412	115256609	198	.	0.434343	1068.050505	0.748214	0.522604	0.884084	746	1262	0	2594
chr1	115258662	115258791	130	.	0.492308	1304.392308	0.913781	0.823136	0.958341	1175	1368	0	2750
chr1	162748361	162748529	169	.	0.467456	1394.970414	0.977235	0.876378	1.038203	1251	1482	0	3438
chr1	226252121	226252180	60	.	0.55	1136.316667	0.796037	0.720857	0.825238	1029	1178	0	1671
chr2	29432643	29432754	112	.	0.535714	1301.633929	0.911849	0.839249	0.949234	1198	1355	0	2588
chr2	29436841	29436957	117	.	0.589744	1390.145299	0.973855	0.739071	1.049411	1055	1498	0	2942
chr2	29443563	29443711	149	.	0.610738	1324.718121	0.92802	0.692836	1.005277	989	1435	0	3127
chr2	29445201	29445284	84	.	0.535714	1092.095238	0.765058	0.596161	0.860966	851	1229	0	2192
chr2	29445374	29445483	110	.	0.6	1344.427273	0.941827	0.770596	1.009481	1100	1441	0	2732
chr2	198266115	198266259	145	.	0.4	1315.675862	0.921686	0.857463	0.983561	1224	1404	0	2792
chr2	198266457	198266622	166	.	0.349398	1270.319277	0.889912	0.810527	0.961844	1157	1373	0	3066
chr2	198266700	198266864	165	.	0.460606	1303.89697	0.913434	0.846254	0.961844	1208	1373	0	3183
chr2	209113084	209113394	311	.	0.440514	1299.771704	0.910544	0.78951	0.965346	1127	1378	0	4693
chr2	212566683	212566901	219	.	0.43379	1155.260274	0.809308	0.707547	0.85396	1010	1219	0	3327
chr2	212570034	212570126	93	.	0.408602	987.376344	0.691698	0.629086	0.727863	898	1039	0	1786
chr3	12626621	12626635	15	.	0.466667	1265.866667	0.886792	0.825238	0.916309	1178	1308	0	1504
chr3	12627271	12627290	20	.	0.45	1486.9	1.041635	1.013684	1.065524	1447	1521	0	1756
chr3	12629091	12629110	20	.	0.35	1381.1	0.967518	0.933822	0.998272	1333	1425	0	1653
chr3	12632288	12632483	196	.	0.52551	1426.387755	0.999244	0.713151	1.075332	1018	1535	0	4028
chr3	12641201	12641250	50	.	0.48	1305.12	0.914291	0.832244	0.946432	1188	1351	0	1909
chr3	12645626	12645798	173	.	0.531792	1440.982659	1.009468	0.890388	1.074631	1271	1534	0	3686
chr3	41265964	41266274	311	.	0.434084	1346.006431	0.942934	0.693536	1.028395	990	1468	0	4955
