chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	115252181	115252359	179	.	0.458101	2479.055866	0.889767	0.682654	0.960453	1902	2676	0	5924
chr1	115256412	115256609	198	.	0.434343	2076.575758	0.745311	0.493506	0.894771	1375	2493	0	5077
chr1	115258662	115258791	130	.	0.492308	2591.646154	0.930177	0.831603	0.975527	2317	2718	0	5501
chr1	162748361	162748529	169	.	0.467456	2794.95858	1.003148	0.898002	1.074946	2502	2995	0	6859
chr1	226252121	226252180	60	.	0.55	2083.783333	0.747898	0.679782	0.781355	1894	2177	0	3049
chr2	29432643	29432754	112	.	0.535714	2536.169643	0.910266	0.840575	0.946455	2342	2637	0	5096
chr2	29436841	29436957	117	.	0.589744	2700.760684	0.96934	0.730748	1.035824	2036	2886	0	5784
chr2	29443563	29443711	149	.	0.610738	2447.080537	0.87829	0.629175	0.971938	1753	2708	0	5961
chr2	29445201	29445284	84	.	0.535714	2042.02381	0.73291	0.588618	0.800736	1640	2231	0	3883
chr2	29445374	29445483	110	.	0.6	2443.545455	0.877021	0.709572	0.974091	1977	2714	0	5046
chr2	198266115	198266259	145	.	0.4	2651.248276	0.951569	0.880415	1.012495	2453	2821	0	5640
chr2	198266457	198266622	166	.	0.349398	2588.042169	0.928883	0.846318	1.026852	2358	2861	0	6361
chr2	198266700	198266864	165	.	0.460606	2586.090909	0.928183	0.866058	0.981987	2413	2736	0	6352
chr2	209113084	209113394	311	.	0.440514	2559.083601	0.91849	0.758025	0.990242	2112	2759	0	9358
chr2	212566683	212566901	219	.	0.43379	2242.242009	0.804771	0.703112	0.853496	1959	2378	0	6474
chr2	212570034	212570126	93	.	0.408602	1802.290323	0.646866	0.588259	0.674757	1639	1880	0	3250
chr3	12626621	12626635	15	.	0.466667	2312.866667	0.830119	0.777407	0.858162	2166	2391	0	2764
chr3	12627271	12627290	20	.	0.45	2857.55	1.025613	0.995267	1.061307	2773	2957	0	3399
chr3	12629091	12629110	20	.	0.35	2591.15	0.929999	0.898002	0.962247	2502	2681	0	3119
chr3	12632288	12632483	196	.	0.52551	2588.494898	0.929046	0.623792	1.012495	1738	2821	0	7391
chr3	12641201	12641250	50	.	0.48	2479.7	0.889998	0.811145	0.924561	2260	2576	0	3616
chr3	12645626	12645798	173	.	0.531792	2921.098266	1.048422	0.928509	1.124117	2587	3132	0	7426
chr3	41265964	41266274	311	.	0.434084	2675.893891	0.960414	0.697369	1.091097	1943	3040	0	10077
chr3	138664425	138664550	126	.	0.65873	1722.15873	0.618106	0.344198	0.783508	959	2183	0	3844
chr3	138664921	138665574	654	.	0.691131	3476.071865	1.247609	0.638507	1.419503	1779	3955	0	24905
chr3	178916861	178916965	105	.	0.380952	2170.590476	0.779054	0.698805	0.842011	1947	2346	0	4160
chr3	178917469	178917697	229	.	0.353712	1984.240175	0.712171	0.471612	0.804684	1314	2242	0	5273
chr3	178922321	178922330	10	.	0.6	1566	0.562059	0.54519	0.573903	1519	1599	0	1726
chr3	178927965	178928136	172	.	0.360465	2069.081395	0.742621	0.612306	0.851343	1706	2372	0	5062
chr3	178935989	178936132	144	.	0.381944	2189.590278	0.785874	0.689832	0.835551	1922	2328	0	4699
chr3	178951873	178952162	290	.	0.37931	2684.5	0.963503	0.743669	1.039414	2072	2896	0	8709
chr4	1803553	1803762	210	.	0.680952	3206.647619	1.150909	0.683012	1.266965	1903	3530	0	9023
chr4	1806049	1806257	209	.	0.641148	2513.239234	0.902036	0.641378	1.095763	1787	3053	0	7924
chr4	1807848	1807910	63	.	0.634921	2393.031746	0.858891	0.578569	0.974809	1612	2716	0	4464
chr4	1808264	1808420	157	.	0.649682	2886.535032	1.036016	0.756949	1.161085	2109	3235	0	6273
chr4	55140999	55141150	152	.	0.434211	2503.302632	0.898469	0.785303	0.938918	2188	2616	0	5821
chr4	55144054	55144183	130	.	0.492308	2545.492308	0.913612	0.805402	0.952915	2244	2655	0	5416
chr4	55151969	55152140	172	.	0.494186	2815.755814	1.010613	0.907333	1.079612	2528	3008	0	6843
chr4	55589741	55589874	134	.	0.477612	2700.69403	0.969316	0.88544	1.0107	2467	2816	0	5854
chr4	55592014	55592226	213	.	0.422535	2705.192488	0.97093	0.887234	1.024339	2472	2854	0	7600
chr4	55593375	55593500	126	.	0.412698	2712.801587	0.973661	0.890464	1.023262	2481	2851	0	5556
chr4	55593563	55593728	166	.	0.415663	2838.716867	1.018854	0.914512	1.078176	2548	3004	0	6700
chr4	55594168	55594297	130	.	0.453846	2660.176923	0.954773	0.898361	0.990242	2503	2759	0	5523
chr4	55599227	55599368	142	.	0.401408	2268.802817	0.814304	0.652146	0.893695	1817	2490	0	4911
chr4	55602655	55602785	131	.	0.419847	2939.70229	1.055099	0.980911	1.121246	2733	3124	0	6262
chr4	153245327	153245556	230	.	0.404348	2687.826087	0.964697	0.877902	1.012854	2446	2822	0	7796
chr4	153247149	153247393	245	.	0.457143	2302.069388	0.826244	0.723211	0.883286	2015	2461	0	7045
chr4	153249351	153249551	201	.	0.41791	2475.169154	0.888372	0.801813	0.940712	2234	2621	0	6447
chr4	153250815	153250947	133	.	0.37594	2378.082707	0.853526	0.803966	0.891541	2240	2484	0	4977
chr4	153251875	153252030	156	.	0.391026	2590.717949	0.929844	0.859239	0.976604	2394	2721	0	5821
chr5	1258778	1258787	10	.	0.6	2471.4	0.887019	0.838781	0.915588	2337	2551	0	2839
chr5	1268745	1268754	10	.	0.8	2584	0.927433	0.87216	0.958658	2430	2671	0	2992
chr5	1271229	1271238	10	.	0.6	3234.9	1.161049	1.030441	1.204514	2871	3356	0	3721
chr5	1271319	1271328	10	.	0.5	2983.5	1.070818	0.935688	1.126988	2607	3140	0	3471
chr5	1295082	1295297	216	.	0.796296	2162.953704	0.776313	0.461922	1.066332	1287	2971	0	7779
chr6	26031869	26032298	430	.	0.581395	2845.406977	1.021255	0.79284	1.124117	2209	3132	0	13536
chr6	117630056	117630070	15	.	0.333333	2488.866667	0.893288	0.875749	0.918101	2440	2558	0	2904
chr6	117638336	117638350	15	.	0.533333	2145.133333	0.769917	0.700599	0.796429	1952	2219	0	2488
chr7	6431546	6431682	137	.	0.423358	3085.430657	1.107403	0.963683	1.21241	2685	3378	0	6822
chr7	55241605	55241746	142	.	0.535211	3270.929577	1.173981	0.908051	1.286705	2530	3585	0	7759
chr7	55242406	55242523	118	.	0.440678	3074.271186	1.103397	0.998497	1.152471	2782	3211	0	6158
chr7	55248977	55249181	205	.	0.595122	3438.063415	1.233967	0.99096	1.337312	2761	3726	0	10149
chr7	55259403	55259577	175	.	0.537143	3338.525714	1.198242	1.041926	1.26517	2903	3525	0	8603
chr7	116339130	116340348	1219	.	0.447908	3518.241181	1.262744	0.943943	1.374998	2630	3831	0	39497
chr7	116411839	116412069	231	.	0.419913	2945.419913	1.057151	0.935688	1.128424	2607	3144	0	8728
chr7	116414926	116415175	250	.	0.452	3204.632	1.150186	1.016443	1.217076	2832	3391	0	10187
chr7	116417434	116417533	100	.	0.41	2824.33	1.01369	0.953992	1.062743	2658	2961	0	5261
chr7	116418821	116419021	201	.	0.442786	3588.383085	1.287919	1.175083	1.364589	3274	3802	0	9511
chr7	116422033	116422161	129	.	0.387597	3308.224806	1.187367	1.060231	1.274861	2954	3552	0	6891
chr7	116423349	116423533	185	.	0.394595	3199.562162	1.148366	1.051617	1.196977	2930	3335	0	8249
chr7	116435700	116435855	156	.	0.480769	3199.698718	1.148415	1.037619	1.195182	2891	3330	0	7655
chr7	140453066	140453203	138	.	0.391304	2978.007246	1.068847	0.970502	1.129142	2704	3146	0	6256
chr7	140481367	140481503	137	.	0.430657	2843.335766	1.020512	0.965118	1.078176	2689	3004	0	6172
chr8	38272288	38272429	142	.	0.514085	2362.626761	0.847979	0.661478	0.927791	1843	2585	0	5378
chr8	38274815	38274944	130	.	0.492308	2697.161538	0.968048	0.808273	1.040131	2252	2898	0	5779
chr9	21968219	21968251	33	.	0.545455	1981.787879	0.71129	0.652864	0.731466	1819	2038	0	2815
chr9	21970892	21971217	326	.	0.714724	2995.236196	1.075031	0.685884	1.200566	1911	3345	0	11817
chr9	21974668	21974836	169	.	0.727811	2624.899408	0.942112	0.671168	1.028287	1870	2865	0	7088
chr9	80409370	80409518	149	.	0.422819	2158.536913	0.774728	0.674399	0.854573	1879	2381	0	4471
chr9	80412427	80412574	148	.	0.486486	2437.878378	0.874988	0.794276	0.917024	2213	2555	0	5413
chr10	43609919	43610194	276	.	0.626812	3119.771739	1.119728	0.772741	1.239328	2153	3453	0	11385
chr10	43613812	43613938	127	.	0.559055	3283.440945	1.178471	1.041567	1.259428	2902	3509	0	7118
chr10	43615520	43615661	142	.	0.535211	2803.584507	1.006244	0.754795	1.08679	2103	3028	0	6623
chr10	43617385	43617474	90	.	0.411111	3086.855556	1.107914	0.999574	1.15606	2785	3221	0	5520
chr10	123247496	123247637	142	.	0.352113	2982.5	1.07046	0.807914	1.186927	2251	3307	0	6480
chr10	123258000	123258129	130	.	0.430769	2717.430769	0.975323	0.920613	1.034389	2565	2882	0	5908
chr10	123279484	123279693	210	.	0.585714	3526.666667	1.265768	1.043003	1.350592	2906	3763	0	10332
chr11	533444	533622	179	.	0.625698	2736.340782	0.98211	0.741156	1.096481	2065	3055	0	7465
chr11	533757	533954	198	.	0.585859	2933.616162	1.052915	0.925279	1.16288	2578	3240	0	8375
chr11	534203	534332	130	.	0.576923	3236.107692	1.161483	0.856368	1.270554	2386	3540	0	7319
chr11	17741321	17741969	649	.	0.693374	3165.086287	1.135992	0.71029	1.291012	1979	3597	0	21336
chr12	25378539	25378717	179	.	0.368715	2158.296089	0.774642	0.600462	0.835192	1673	2327	0	5324
chr12	25380159	25380356	198	.	0.419192	1839.388889	0.660182	0.502838	0.728236	1401	2029	0	4838
chr12	25398199	25398328	130	.	0.407692	2291.738462	0.822536	0.775253	0.871801	2160	2429	0	4762
chr12	58145274	58145510	237	.	0.556962	2728.35443	0.979243	0.775612	1.059154	2161	2951	0	8464
chr12	112888113	112888326	214	.	0.415888	2834.724299	1.017421	0.896566	1.08033	2498	3010	0	7925
chr14	95557531	95557712	182	.	0.456044	2735.5	0.981808	0.868571	1.044438	2420	2910	0	7031
chr14	95560216	95560503	288	.	0.493056	3348.75	1.201912	1.02398	1.300703	2853	3624	0	11529
chr14	105246416	105246563	148	.	0.560811	3281.52027	1.177782	0.98773	1.26517	2752	3525	0	7608
chr15	66727356	66727585	230	.	0.547826	2852.886957	1.02394	0.723929	1.157496	2017	3225	0	8094
chr15	66729075	66729240	166	.	0.5	3069.825301	1.101802	0.989525	1.161444	2757	3236	0	7692
chr15	90631810	90631989	180	.	0.572222	2447.355556	0.878389	0.70024	0.947532	1951	2640	0	6376
chr17	7572918	7573018	101	.	0.485149	2509.722772	0.900773	0.767716	0.957222	2139	2667	0	4801
chr17	7573896	7574043	148	.	0.628378	3014.5	1.081945	0.928509	1.143857	2587	3187	0	6971
chr17	7576841	7577170	330	.	0.530303	2921.375758	1.048521	0.907692	1.142781	2529	3184	0	11936
chr17	7577451	7577660	210	.	0.585714	2791.742857	1.001994	0.564212	1.207744	1572	3365	0	7886
chr17	7578116	7578570	455	.	0.586813	2907.472527	1.043531	0.755872	1.130578	2106	3150	0	15217
chr17	7579266	7579600	335	.	0.59403	2331.835821	0.836927	0.516118	1.128065	1438	3143	0	10167
chr17	7579666	7579731	66	.	0.530303	1328.060606	0.476659	0.357478	0.552368	996	1539	0	2318
chr17	7579826	7579922	97	.	0.546392	2189.020619	0.785669	0.658965	0.837704	1836	2334	0	4295
chr17	37868172	37868310	139	.	0.582734	2634.446043	0.945538	0.79607	0.999574	2218	2785	0	5958
chr17	37879563	37879720	158	.	0.613924	2281.93038	0.819016	0.558111	0.93497	1555	2605	0	5642
chr17	37880970	37881174	205	.	0.590244	2707.463415	0.971745	0.806479	1.038696	2247	2894	0	7921
chr17	73775141	73775155	15	.	0.666667	2689.866667	0.96543	0.810427	1.031517	2258	2874	0	3295
chr18	48586227	48586296	70	.	0.442857	2359.985714	0.847031	0.775612	0.896925	2161	2499	0	3762
chr18	48591784	48591986	203	.	0.44335	2800.147783	1.005011	0.91164	1.081406	2540	3013	0	7532
chr18	48593380	48593567	188	.	0.457447	1954.579787	0.701525	0.519348	0.779201	1447	2171	0	4778
chr18	48602999	48603156	158	.	0.544304	2606.202532	0.935401	0.80612	1.003881	2246	2797	0	6332
chr18	48604617	48604847	231	.	0.480519	2954.246753	1.060319	0.914153	1.105095	2547	3079	0	9090
chr19	3114933	3115080	148	.	0.641892	2326.574324	0.835039	0.640661	0.9382	1785	2614	0	5545
chr19	3118913	3119061	149	.	0.590604	2880.100671	1.033707	0.646403	1.112273	1801	3099	0	6981
chr20	57484396	57484488	93	.	0.494624	2977.569892	1.06869	1.010342	1.10653	2815	3083	0	5250
