chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	43814953	43815064	112	.	0.678571	9.089286	0.514466	0.339608	0.566014	6	10	0	10
chr1	115252140	115252232	93	.	0.419355	12.817204	0.725471	0.566014	0.792419	10	14	0	14
chr1	115256482	115256576	95	.	0.452632	8.642105	0.489155	0.339608	0.509412	6	9	0	10
chr1	115258700	115258783	84	.	0.488095	6.309524	0.357128	0.226405	0.39621	4	7	0	8
chr1	162748353	162748419	67	.	0.41791	10.80597	0.611633	0.509412	0.679216	9	12	0	12
chr2	25457176	25457249	74	.	0.662162	7.635135	0.432159	0.339608	0.452811	6	8	0	8
chr2	29432653	29432713	61	.	0.57377	10.639344	0.602201	0.509412	0.622615	9	11	0	11
chr2	29443609	29443702	94	.	0.585106	13.095745	0.741237	0.509412	0.84902	9	15	0	17
chr2	48030561	48030883	323	.	0.424149	18.832817	1.065963	0.39621	1.867845	7	33	0	65
chr2	209113109	209113213	105	.	0.457143	10.561905	0.597818	0.509412	0.735818	9	13	0	15
chr2	212288889	212288978	90	.	0.444444	9.011111	0.510041	0.509412	0.566014	9	10	0	10
chr2	212530062	212530148	87	.	0.482759	8.83908	0.500304	0.452811	0.509412	8	9	0	9
chr2	212576796	212576892	97	.	0.391753	8.876289	0.50241	0.39621	0.509412	7	9	0	9
chr2	212578281	212578353	73	.	0.410959	9.945205	0.562912	0.509412	0.622615	9	11	0	11
chr2	212587144	212587213	70	.	0.414286	10.857143	0.614529	0.452811	0.622615	8	11	0	11
chr2	212589773	212589838	66	.	0.439394	7.5	0.42451	0.339608	0.452811	6	8	0	8
chr2	212652717	212652812	96	.	0.34375	8.53125	0.48288	0.39621	0.509412	7	9	0	9
chr2	212812075	212812171	97	.	0.28866	5.948454	0.336691	0.283007	0.39621	5	7	0	7
chr3	10183767	10183854	88	.	0.738636	33.795455	1.912869	1.64144	2.264055	29	40	0	45
chr3	10188187	10188302	116	.	0.465517	17.672414	1.000283	0.84902	1.018825	15	18	0	21
chr3	10191422	10191521	100	.	0.52	9.87	0.558655	0.509412	0.566014	9	10	0	10
chr3	37067193	37067256	64	.	0.484375	13.53125	0.765887	0.679216	0.792419	12	14	0	16
chr3	41266039	41266140	102	.	0.529412	16.235294	0.91894	0.735818	1.018825	13	18	0	20
chr3	138665152	138665247	96	.	0.65625	5.802083	0.328406	0.169804	0.339608	3	6	0	6
chr3	178916808	178916963	156	.	0.358974	12.352564	0.699172	0.452811	0.905622	8	16	0	23
chr3	178921464	178921563	100	.	0.32	12.63	0.714875	0.622615	0.735818	11	13	0	13
chr3	178927401	178927471	71	.	0.422535	7.859155	0.444839	0.339608	0.452811	6	8	0	8
chr3	178927920	178928005	86	.	0.267442	17.267442	0.977361	0.792419	1.075426	14	19	0	21
chr3	178928072	178928161	90	.	0.277778	17.2	0.973543	0.792419	1.075426	14	19	0	20
chr3	178936024	178936108	85	.	0.376471	10.282353	0.581995	0.452811	0.622615	8	11	0	12
chr3	178938808	178938876	69	.	0.463768	5.652174	0.319921	0.226405	0.339608	4	6	0	6
chr3	178947813	178947887	75	.	0.4	6.946667	0.393191	0.339608	0.452811	6	8	0	9
chr3	178952002	178952107	106	.	0.396226	17.235849	0.975573	0.84902	1.018825	15	18	0	20
chr3	178952144	178952242	99	.	0.393939	19.242424	1.089147	0.962223	1.132027	17	20	0	21
chr4	1803565	1803646	82	.	0.743902	31.54878	1.785704	0.84902	2.320656	15	41	0	63
chr4	1803649	1803747	99	.	0.626263	34.131313	1.931879	1.415034	2.547061	25	45	0	50
chr4	1806066	1806156	91	.	0.637363	18.32967	1.037484	0.735818	1.075426	13	19	0	19
chr4	1807847	1807931	85	.	0.682353	11.176471	0.632603	0.339608	0.735818	6	13	0	15
chr4	1808276	1808395	120	.	0.65	10.941667	0.619313	0.452811	0.679216	8	12	0	12
chr4	1808929	1809004	76	.	0.736842	8.342105	0.472175	0.39621	0.509412	7	9	0	9
chr4	55140995	55141088	94	.	0.414894	11.361702	0.643088	0.509412	0.679216	9	12	0	14
chr4	55144126	55144212	87	.	0.517241	13.057471	0.739071	0.566014	0.792419	10	14	0	14
chr4	55144476	55144559	84	.	0.416667	7.464286	0.422489	0.339608	0.452811	6	8	0	8
chr4	55152027	55152135	109	.	0.495413	18.752294	1.061405	0.792419	1.188629	14	21	0	25
chr4	55561697	55561861	165	.	0.478788	18.454545	1.044552	0.622615	1.301831	11	23	0	35
chr4	55592045	55592244	200	.	0.395	27.32	1.546349	1.188629	2.377257	21	42	0	57
chr4	55593423	55593513	91	.	0.351648	31.384615	1.776412	1.528237	2.150852	27	38	0	54
