chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	115252181	115252359	179	.	0.458101	3349.921788	0.887807	0.755581	0.955939	2851	3607	0	6944
chr1	115256412	115256609	198	.	0.434343	2601.257576	0.689394	0.4031	0.864506	1521	3262	0	5959
chr1	115258662	115258791	130	.	0.492308	3548.776923	0.940509	0.908765	0.981116	3429	3702	0	6631
chr1	162748361	162748529	169	.	0.467456	3865.56213	1.024464	0.927581	1.068839	3500	4033	0	8071
chr1	226252121	226252180	60	.	0.55	2777.883333	0.736204	0.700192	0.753726	2642	2844	0	3629
chr2	29432643	29432754	112	.	0.535714	3537.892857	0.937624	0.878817	0.96866	3316	3655	0	6168
chr2	29436841	29436957	117	.	0.589744	3856.316239	1.022014	0.955409	1.072549	3605	4047	0	6909
chr2	29443563	29443711	149	.	0.610738	3458.362416	0.916547	0.823162	0.984031	3106	3713	0	7076
chr2	29445201	29445284	84	.	0.535714	2518.916667	0.667572	0.588617	0.750546	2221	2832	0	4440
chr2	29445374	29445483	110	.	0.6	3441.045455	0.911957	0.85046	0.980321	3209	3699	0	6141
chr2	198266115	198266259	145	.	0.4	3318.986207	0.879609	0.836944	0.919631	3158	3470	0	6475
chr2	198266457	198266622	166	.	0.349398	3201.987952	0.848601	0.801695	0.920426	3025	3473	0	7084
chr2	198266700	198266864	165	.	0.460606	3380.109091	0.895808	0.847544	0.939508	3198	3545	0	7378
chr2	209113084	209113394	311	.	0.440514	3400.546624	0.901224	0.763267	0.960974	2880	3626	0	10668
chr2	212566683	212566901	219	.	0.43379	2951.369863	0.782182	0.73544	0.822367	2775	3103	0	7416
chr2	212570034	212570126	93	.	0.408602	2345.580645	0.621633	0.603723	0.642416	2278	2424	0	3832
chr3	12626621	12626635	15	.	0.466667	3408.666667	0.903376	0.894454	0.915655	3375	3455	0	3756
chr3	12627271	12627290	20	.	0.45	3911.85	1.036731	1.014774	1.056118	3829	3985	0	4337
chr3	12629091	12629110	20	.	0.35	3535.4	0.936963	0.91062	0.951699	3436	3591	0	3985
chr3	12632288	12632483	196	.	0.52551	3688.72449	0.977598	0.892333	1.031471	3367	3892	0	8848
chr3	12641201	12641250	50	.	0.48	3445.38	0.913106	0.895779	0.930762	3380	3512	0	4541
chr3	12645626	12645798	173	.	0.531792	3979.797688	1.054739	1.002848	1.107002	3784	4177	0	8780
chr3	41265964	41266274	311	.	0.434084	3477.864952	0.921715	0.68429	1.041807	2582	3931	0	11419
chr3	138664425	138664550	126	.	0.65873	2653.65873	0.703281	0.520241	0.817067	1963	3083	0	4863
chr3	138664921	138665574	654	.	0.691131	4716.680428	1.25003	1.015304	1.378651	3831	5202	0	27429
chr3	178916861	178916965	105	.	0.380952	2865.12381	0.759325	0.710527	0.809911	2681	3056	0	4944
chr3	178917469	178917697	229	.	0.353712	2617.585153	0.693721	0.491618	0.781024	1855	2947	0	6141
chr3	178922321	178922330	10	.	0.6	2014.1	0.533783	0.528721	0.540382	1995	2039	0	2106
chr3	178927965	178928136	172	.	0.360465	2646.837209	0.701473	0.576426	0.823957	2175	3109	0	5729
chr3	178935989	178936132	144	.	0.381944	2777.208333	0.736025	0.635526	0.791625	2398	2987	0	5302
chr3	178951873	178952162	290	.	0.37931	3578.210345	0.948309	0.735705	1.012654	2776	3821	0	9967
chr4	1803553	1803762	210	.	0.680952	4472.028571	1.185192	1.064599	1.25091	4017	4720	0	10513
chr4	1806049	1806257	209	.	0.641148	3367.244019	0.892398	0.641886	1.087126	2422	4102	0	9136
chr4	1807848	1807910	63	.	0.634921	3454.968254	0.915647	0.867421	0.990392	3273	3737	0	5355
chr4	1808264	1808420	157	.	0.649682	3907.656051	1.03562	0.74021	1.157357	2793	4367	0	7623
chr4	55140999	55141150	152	.	0.434211	3421.743421	0.906842	0.865566	0.942688	3266	3557	0	6914
chr4	55144054	55144183	130	.	0.492308	3499.330769	0.927404	0.887563	0.959384	3349	3620	0	6588
chr4	55151969	55152140	172	.	0.494186	3829.465116	1.014897	0.938977	1.076525	3543	4062	0	8103
chr4	55589741	55589874	134	.	0.477612	3614.440299	0.957911	0.902404	1.008414	3405	3805	0	6910
chr4	55592014	55592226	213	.	0.422535	3589.446009	0.951287	0.876432	0.991452	3307	3741	0	8799
chr4	55593375	55593500	126	.	0.412698	3578.944444	0.948504	0.904259	0.9729	3412	3671	0	6512
chr4	55593563	55593728	166	.	0.415663	3714.759036	0.984498	0.918836	1.036771	3467	3912	0	7738
chr4	55594168	55594297	130	.	0.453846	3516.423077	0.931934	0.888888	0.9623	3354	3631	0	6539
chr4	55599227	55599368	142	.	0.401408	2887.93662	0.76537	0.632876	0.861061	2388	3249	0	5517
chr4	55602655	55602785	131	.	0.419847	3957.89313	1.048934	0.981646	1.117338	3704	4216	0	7439
chr4	153245327	153245556	230	.	0.404348	3527.473913	0.934863	0.887033	0.973961	3347	3675	0	8915
chr4	153247149	153247393	245	.	0.457143	3070.355102	0.813716	0.713178	0.865036	2691	3264	0	8112
chr4	153249351	153249551	201	.	0.41791	3221.432836	0.853755	0.777843	0.896574	2935	3383	0	7404
chr4	153250815	153250947	133	.	0.37594	3083.962406	0.817322	0.780494	0.853905	2945	3222	0	5902
chr4	153251875	153252030	156	.	0.391026	3399.480769	0.900942	0.831378	0.942158	3137	3555	0	6735
chr5	1258778	1258787	10	.	0.6	3457.4	0.916292	0.894984	0.938182	3377	3540	0	3684
chr5	1268745	1268754	10	.	0.8	3665.7	0.971496	0.963625	0.980056	3636	3698	0	3918
chr5	1271229	1271238	10	.	0.6	4627.6	1.226422	1.217252	1.235009	4593	4660	0	4920
chr5	1271319	1271328	10	.	0.5	4211	1.116013	1.109122	1.124229	4185	4242	0	4451
chr5	1295082	1295297	216	.	0.796296	2657.027778	0.704174	0.473597	0.999138	1787	3770	0	8687
chr6	26031869	26032298	430	.	0.581395	3833.139535	1.015871	0.920161	1.101967	3472	4158	0	15378
chr6	117630056	117630070	15	.	0.333333	3336.2	0.884171	0.860266	0.9138	3246	3448	0	3666
chr6	117638336	117638350	15	.	0.533333	2925.8	0.775405	0.765387	0.79348	2888	2994	0	3189
chr7	6431546	6431682	137	.	0.423358	4210.868613	1.115978	1.005498	1.206651	3794	4553	0	8053
chr7	55241605	55241746	142	.	0.535211	4559.697183	1.208426	1.153646	1.274232	4353	4808	0	9091
chr7	55242406	55242523	118	.	0.440678	4284.186441	1.135409	1.025905	1.173788	3871	4429	0	7374
chr7	55248977	55249181	205	.	0.595122	4802.102439	1.272669	1.214072	1.335452	4581	5039	0	11944
chr7	55259403	55259577	175	.	0.537143	4665.902857	1.236573	1.117603	1.307095	4217	4932	0	10165
chr7	116339130	116340348	1219	.	0.447908	4670.665299	1.237835	0.984562	1.342608	3715	5066	0	43651
chr7	116411839	116412069	231	.	0.419913	3923.051948	1.0397	0.96601	1.104352	3645	4167	0	9994
chr7	116414926	116415175	250	.	0.452	4297.176	1.138852	1.016629	1.207446	3836	4556	0	11701
chr7	116417434	116417533	100	.	0.41	3680.96	0.97554	0.941893	1.008149	3554	3804	0	6242
chr7	116418821	116419021	201	.	0.442786	4743.686567	1.257187	1.201616	1.319286	4534	4978	0	11066
chr7	116422033	116422161	129	.	0.387597	4276.155039	1.133281	1.012389	1.228913	3820	4637	0	8017
chr7	116423349	116423533	185	.	0.394595	4158.027027	1.101974	1.053998	1.150201	3977	4340	0	9528
chr7	116435700	116435855	156	.	0.480769	4320.801282	1.145113	1.107267	1.188364	4178	4484	0	8986
chr7	140453066	140453203	138	.	0.391304	3933.376812	1.042436	0.954084	1.096931	3600	4139	0	7356
chr7	140481367	140481503	137	.	0.430657	3730.583942	0.988692	0.931027	1.054263	3513	3978	0	7210
chr8	38272288	38272429	142	.	0.514085	3370.514085	0.893265	0.808851	0.951699	3052	3591	0	6595
chr8	38274815	38274944	130	.	0.492308	3767.246154	0.998408	0.901874	1.051082	3403	3966	0	7001
chr9	21968219	21968251	33	.	0.545455	2737.181818	0.725417	0.707877	0.750016	2671	2830	0	3514
chr9	21970892	21971217	326	.	0.714724	4146.650307	1.098959	0.929967	1.183329	3509	4465	0	13486
chr9	21974668	21974836	169	.	0.727811	3643.384615	0.965582	0.919101	0.999668	3468	3772	0	8329
chr9	80409370	80409518	149	.	0.422819	2809.369128	0.744548	0.623865	0.808056	2354	3049	0	5201
chr9	80412427	80412574	148	.	0.486486	3223.837838	0.854392	0.79772	0.887298	3010	3348	0	6306
chr10	43609919	43610194	276	.	0.626812	4297.311594	1.138888	0.97184	1.25303	3667	4728	0	13358
chr10	43613812	43613938	127	.	0.559055	4586.913386	1.215639	1.165042	1.245344	4396	4699	0	8577
chr10	43615520	43615661	142	.	0.535211	3965.838028	1.051039	0.997018	1.087126	3762	4102	0	7880
chr10	43617385	43617474	90	.	0.411111	4236.233333	1.1227	1.057178	1.161597	3989	4383	0	6659
chr10	123247496	123247637	142	.	0.352113	3770.816901	0.999354	0.806466	1.139865	3043	4301	0	7245
chr10	123258000	123258129	130	.	0.430769	3552.684615	0.941544	0.883323	1.007088	3333	3800	0	6958
chr10	123279484	123279693	210	.	0.585714	4933.661905	1.307535	1.251175	1.352944	4721	5105	0	12079
chr11	533444	533622	179	.	0.625698	3880.351955	1.028384	0.894189	1.112568	3374	4198	0	8866
chr11	533757	533954	198	.	0.585859	4131.681818	1.094992	1.035446	1.170608	3907	4417	0	10038
chr11	534203	534332	130	.	0.576923	4650.276923	1.232432	1.163452	1.290928	4390	4871	0	8960
chr11	17741321	17741969	649	.	0.693374	4371.189522	1.158467	0.932352	1.263631	3518	4768	0	24147
chr12	25378539	25378717	179	.	0.368715	2826.877095	0.749188	0.5698	0.79242	2150	2990	0	6199
chr12	25380159	25380356	198	.	0.419192	2482.868687	0.658018	0.487643	0.73491	1840	2773	0	5504
chr12	25398199	25398328	130	.	0.407692	2999.984615	0.795066	0.765387	0.844099	2888	3185	0	5555
chr12	58145274	58145510	237	.	0.556962	3801.274262	1.007426	0.96336	1.066454	3635	4024	0	10084
chr12	112888113	112888326	214	.	0.415888	3810.327103	1.009825	0.877492	1.089776	3311	4112	0	9126
chr14	95557531	95557712	182	.	0.456044	3697.065934	0.979809	0.902934	1.045517	3407	3945	0	8230
chr14	95560216	95560503	288	.	0.493056	4535.111111	1.20191	1.112568	1.297819	4198	4897	0	13407
chr14	105246416	105246563	148	.	0.560811	4639.817568	1.22966	1.108327	1.277412	4182	4820	0	9156
chr15	66727356	66727585	230	.	0.547826	4040.547826	1.070839	0.697276	1.183329	2631	4465	0	9699
chr15	66729075	66729240	166	.	0.5	4212.186747	1.116328	1.08474	1.150731	4093	4342	0	9100
