chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	43814953	43815064	112	.	0.678571	13775.616071	1.700893	1.642909	1.722918	13306	13954	0	13986
chr1	115252140	115252232	93	.	0.419355	8825.978495	1.089755	1.085436	1.09198	8791	8844	0	8872
chr1	115256482	115256576	95	.	0.452632	2908.894737	0.359165	0.356709	0.360042	2889	2916	0	2924
chr1	115258700	115258783	84	.	0.488095	5446.571429	0.672495	0.67156	0.673536	5439	5455	0	5480
chr1	162748353	162748419	67	.	0.41791	1768.074627	0.218306	0.21768	0.218791	1763	1772	0	1777
chr2	25457176	25457249	74	.	0.662162	2518.22973	0.310929	0.307567	0.311765	2491	2525	0	2532
chr2	29432653	29432713	61	.	0.57377	4341.52459	0.536054	0.534631	0.53673	4330	4347	0	4352
chr2	29443609	29443702	94	.	0.585106	4516.425532	0.557649	0.554016	0.558584	4487	4524	0	4556
chr2	48030561	48030883	323	.	0.424149	4686.773994	0.578682	0.123224	1.337318	998	10831	0	13022
chr2	209113109	209113213	105	.	0.457143	1446.247619	0.17857	0.178046	0.179033	1442	1450	0	1460
chr2	212288889	212288978	90	.	0.444444	2289	0.282626	0.282379	0.282873	2287	2291	0	2300
chr2	212530062	212530148	87	.	0.482759	2735.643678	0.337773	0.337077	0.338064	2730	2738	0	2743
chr2	212576796	212576892	97	.	0.391753	7099.164948	0.876543	0.874547	0.877017	7083	7103	0	7121
chr2	212578281	212578353	73	.	0.410959	2480.835616	0.306312	0.305838	0.306703	2477	2484	0	2488
chr2	212587144	212587213	70	.	0.414286	1917.371429	0.23674	0.236324	0.237065	1914	1920	0	1921
chr2	212589773	212589838	66	.	0.439394	3008.363636	0.371447	0.370784	0.371772	3003	3011	0	3015
chr2	212652717	212652812	96	.	0.34375	7427.833333	0.917124	0.914305	0.918503	7405	7439	0	7455
chr2	212812075	212812171	97	.	0.28866	3463.917526	0.427694	0.426964	0.428198	3458	3468	0	3474
chr3	10183767	10183854	88	.	0.738636	14981.636364	1.849802	1.846266	1.894173	14953	15341	0	15412
chr3	10188187	10188302	116	.	0.465517	9975.784483	1.231723	1.226564	1.233108	9934	9987	0	10042
chr3	10191422	10191521	100	.	0.52	14049.92	1.734762	1.732549	1.736377	14032	14063	0	14109
chr3	37067193	37067256	64	.	0.484375	6076.390625	0.75026	0.748853	0.750829	6065	6081	0	6092
chr3	41266039	41266140	102	.	0.529412	8598.686275	1.061691	0.825776	1.070126	6688	8667	0	8697
chr3	138665152	138665247	96	.	0.65625	1306.875	0.161362	0.160266	0.161871	1298	1311	0	1314
chr3	178916808	178916963	156	.	0.358974	3059.564103	0.377768	0.232496	0.494996	1883	4009	0	4032
chr3	178921464	178921563	100	.	0.32	2137.31	0.263896	0.263117	0.264476	2131	2142	0	2149
chr3	178927401	178927471	71	.	0.422535	3849.408451	0.475291	0.474747	0.475611	3845	3852	0	3860
chr3	178927920	178928005	86	.	0.267442	2378.77907	0.293711	0.292627	0.293985	2370	2381	0	2390
chr3	178928072	178928161	90	.	0.277778	1804.011111	0.222744	0.222372	0.222989	1801	1806	0	1814
chr3	178936024	178936108	85	.	0.376471	5095.823529	0.629188	0.628222	0.630074	5088	5103	0	5113
