chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	115252181	115252359	179	.	0.458101	1728.877095	0.893779	0.790965	0.953811	1530	1845	0	3632
chr1	115256412	115256609	198	.	0.434343	1333.358586	0.689307	0.423916	0.853001	820	1650	0	3061
chr1	115258662	115258791	130	.	0.492308	1779.684615	0.920045	0.893842	0.951743	1729	1841	0	3375
chr1	162748361	162748529	169	.	0.467456	1926.556213	0.995973	0.921242	1.038077	1782	2008	0	4094
chr1	226252121	226252180	60	.	0.55	1498.316667	0.774586	0.736166	0.793033	1424	1534	0	1972
chr2	29432643	29432754	112	.	0.535714	1790.053571	0.925405	0.870061	0.950192	1683	1838	0	3149
chr2	29436841	29436957	117	.	0.589744	1985.581197	1.026487	0.968803	1.073748	1874	2077	0	3578
chr2	29443563	29443711	149	.	0.610738	1858.328859	0.960701	0.890223	1.018949	1722	1971	0	3786
chr2	29445201	29445284	84	.	0.535714	1380.178571	0.713512	0.640527	0.807508	1239	1562	0	2519
chr2	29445374	29445483	110	.	0.6	1890.772727	0.977474	0.922275	1.032907	1784	1998	0	3365
chr2	198266115	198266259	145	.	0.4	1678.268966	0.867616	0.814229	0.905732	1575	1752	0	3261
chr2	198266457	198266622	166	.	0.349398	1583.512048	0.818629	0.780626	0.869544	1510	1682	0	3467
chr2	198266700	198266864	165	.	0.460606	1705.484848	0.881685	0.824568	0.937268	1595	1813	0	3721
chr2	209113084	209113394	311	.	0.440514	1716.282958	0.887268	0.786829	0.931581	1522	1802	0	5421
chr2	212566683	212566901	219	.	0.43379	1517.968037	0.784745	0.73203	0.821466	1416	1589	0	3832
chr2	212570034	212570126	93	.	0.408602	1284.709677	0.664157	0.642077	0.684469	1242	1324	0	2112
chr3	12626621	12626635	15	.	0.466667	1838.133333	0.950261	0.940369	0.963116	1819	1863	0	2023
chr3	12627271	12627290	20	.	0.45	2010.15	1.039188	1.024636	1.053069	1982	2037	0	2238
chr3	12629091	12629110	20	.	0.35	1858	0.960531	0.938302	0.975006	1815	1886	0	2095
chr3	12632288	12632483	196	.	0.52551	2027.19898	1.048002	1.002923	1.090291	1940	2109	0	4807
chr3	12641201	12641250	50	.	0.48	1805.38	0.933328	0.904181	0.96932	1749	1875	0	2415
chr3	12645626	12645798	173	.	0.531792	1957.890173	1.012172	0.968286	1.05979	1873	2050	0	4394
chr3	41265964	41266274	311	.	0.434084	1757.823151	0.908743	0.688088	0.989482	1331	1914	0	5680
chr3	138664425	138664550	126	.	0.65873	1461.357143	0.755479	0.558845	0.857137	1081	1658	0	2645
chr3	138664921	138665574	654	.	0.691131	2353.25841	1.216565	1.017915	1.313622	1969	2541	0	13588
chr3	178916861	178916965	105	.	0.380952	1452.047619	0.750666	0.712385	0.786829	1378	1522	0	2499
chr3	178917469	178917697	229	.	0.353712	1381.545852	0.714219	0.534548	0.790448	1034	1529	0	3250
chr3	178922321	178922330	10	.	0.6	1162	0.60072	0.593999	0.606406	1149	1173	0	1220
chr3	178927965	178928136	172	.	0.360465	1384.197674	0.715589	0.619848	0.806474	1199	1560	0	2996
chr3	178935989	178936132	144	.	0.381944	1451.5625	0.750415	0.661722	0.799236	1280	1546	0	2819
chr3	178951873	178952162	290	.	0.37931	1775.686207	0.917977	0.739268	0.981727	1430	1899	0	5020
chr4	1803553	1803762	210	.	0.680952	2262.471429	1.169631	1.076333	1.221601	2082	2363	0	5367
