chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	43814953	43815064	112	.	0.678571	19.232143	0.657806	0.615663	0.68407	18	20	0	20
chr1	115252140	115252232	93	.	0.419355	24.774194	0.847364	0.78668	0.889291	23	26	0	26
chr1	115256482	115256576	95	.	0.452632	15.442105	0.528174	0.410442	0.547256	12	16	0	16
chr1	115258700	115258783	84	.	0.488095	12.785714	0.437316	0.410442	0.478849	12	14	0	16
chr1	162748353	162748419	67	.	0.41791	21.119403	0.722357	0.718273	0.78668	21	23	0	23
chr2	25457176	25457249	74	.	0.662162	16	0.547256	0.547256	0.547256	16	16	0	16
chr2	29432653	29432713	61	.	0.57377	21.327869	0.729487	0.68407	0.752477	20	22	0	22
chr2	29443609	29443702	94	.	0.585106	26.170213	0.895113	0.855087	0.957698	25	28	0	30
chr2	48030561	48030883	323	.	0.424149	29.111455	0.995713	0.410442	1.812785	12	53	0	81
chr2	209113109	209113213	105	.	0.457143	18.895238	0.646283	0.615663	0.718273	18	21	0	23
chr2	212288889	212288978	90	.	0.444444	18.022222	0.616423	0.615663	0.68407	18	20	0	20
chr2	212530062	212530148	87	.	0.482759	17	0.581459	0.581459	0.581459	17	17	0	17
chr2	212576796	212576892	97	.	0.391753	16.876289	0.577228	0.478849	0.581459	14	17	0	17
chr2	212578281	212578353	73	.	0.410959	19.013699	0.650335	0.649866	0.68407	19	20	0	20
chr2	212587144	212587213	70	.	0.414286	21	0.718273	0.718273	0.718273	21	21	0	21
chr2	212589773	212589838	66	.	0.439394	14.712121	0.503206	0.478849	0.513052	14	15	0	15
chr2	212652717	212652812	96	.	0.34375	17	0.581459	0.581459	0.581459	17	17	0	17
chr2	212812075	212812171	97	.	0.28866	12.020619	0.411147	0.410442	0.478849	12	14	0	14
chr3	10183767	10183854	88	.	0.738636	64.272727	2.198351	2.018006	5.814593	59	170	0	176
chr3	10188187	10188302	116	.	0.465517	30.258621	1.03495	0.991901	1.060308	29	31	0	32
chr3	10191422	10191521	100	.	0.52	19	0.649866	0.649866	0.649866	19	19	0	19
chr3	37067193	37067256	64	.	0.484375	24.578125	0.840658	0.820884	0.889291	24	26	0	26
chr3	41266039	41266140	102	.	0.529412	31.196078	1.067015	0.855087	1.197122	25	35	0	37
chr3	138665152	138665247	96	.	0.65625	12	0.410442	0.410442	0.410442	12	12	0	12
chr3	178916808	178916963	156	.	0.358974	22.730769	0.777472	0.444645	1.094512	13	32	0	32
chr3	178921464	178921563	100	.	0.32	24.24	0.829092	0.752477	0.855087	22	25	0	25
chr3	178927401	178927471	71	.	0.422535	16	0.547256	0.547256	0.547256	16	16	0	16
chr3	178927920	178928005	86	.	0.267442	25.581395	0.874973	0.820884	0.923494	24	27	0	28
chr3	178928072	178928161	90	.	0.277778	26.766667	0.915513	0.820884	0.991901	24	29	0	30
chr3	178936024	178936108	85	.	0.376471	19.294118	0.659926	0.615663	0.718273	18	21	0	21
chr3	178938808	178938876	69	.	0.463768	12	0.410442	0.410442	0.410442	12	12	0	12
chr3	178947813	178947887	75	.	0.4	13.16	0.450118	0.444645	0.513052	13	15	0	16
chr3	178952002	178952107	106	.	0.396226	25.830189	0.883482	0.820884	0.923494	24	27	0	28
chr3	178952144	178952242	99	.	0.393939	29.919192	1.023341	0.991901	1.060308	29	31	0	31
chr4	1803565	1803646	82	.	0.743902	48.865854	1.671383	1.128715	2.462651	33	72	0	73
chr4	1803649	1803747	99	.	0.626263	53.030303	1.813821	1.368139	2.667872	40	78	0	82
chr4	1806066	1806156	91	.	0.637363	34.824176	1.191108	1.060308	1.197122	31	35	0	35
chr4	1807847	1807931	85	.	0.682353	19.2	0.656707	0.615663	0.68407	18	20	0	21
chr4	1808276	1808395	120	.	0.65	21.1	0.721694	0.547256	0.820884	16	24	0	31
chr4	1808929	1809004	76	.	0.736842	16	0.547256	0.547256	0.547256	16	16	0	16
chr4	55140995	55141088	94	.	0.414894	23.468085	0.80269	0.752477	0.820884	22	24	0	26
chr4	55144126	55144212	87	.	0.517241	23.321839	0.797688	0.649866	0.820884	19	24	0	24
chr4	55144476	55144559	84	.	0.416667	11.666667	0.399041	0.342035	0.410442	10	12	0	12
chr4	55152027	55152135	109	.	0.495413	35.752294	1.222853	0.923494	1.368139	27	40	0	40
chr4	55561697	55561861	165	.	0.478788	31.387879	1.073575	0.478849	1.504953	14	44	0	44
