chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
chr1	43814953	43815064	112	.	0.678571	6650.857143	1.37162	1.216563	1.430425	5899	6936	0	7674
chr1	115252140	115252232	93	.	0.419355	4315.408602	0.889975	0.86205	0.910514	4180	4415	0	4472
chr1	115256482	115256576	95	.	0.452632	1415	0.291818	0.226855	0.299243	1100	1451	0	1476
chr1	115258700	115258783	84	.	0.488095	2665.5	0.549711	0.507331	0.562601	2460	2728	0	2767
chr1	162748353	162748419	67	.	0.41791	868.970149	0.179209	0.17241	0.182103	836	883	0	898
chr2	25457176	25457249	74	.	0.662162	1219.445946	0.251489	0.222937	0.25944	1081	1258	0	1307
chr2	29432653	29432713	61	.	0.57377	2136	0.440512	0.428138	0.447111	2076	2168	0	2188
chr2	29443609	29443702	94	.	0.585106	2179.670213	0.449518	0.37493	0.463403	1818	2247	0	2334
chr2	48030561	48030883	323	.	0.424149	2574.23839	0.53089	0.134463	1.18769	652	5759	0	8830
chr2	209113109	209113213	105	.	0.457143	712.704762	0.146983	0.138794	0.149724	673	726	0	745
chr2	212288889	212288978	90	.	0.444444	1123.455556	0.231693	0.218193	0.235929	1058	1144	0	1161
chr2	212530062	212530148	87	.	0.482759	1344.528736	0.277285	0.269339	0.281713	1306	1366	0	1382
chr2	212576796	212576892	97	.	0.391753	3493.587629	0.72049	0.66448	0.730268	3222	3541	0	3585
chr2	212578281	212578353	73	.	0.410959	1222.890411	0.252199	0.246447	0.255728	1195	1240	0	1249
chr2	212587144	212587213	70	.	0.414286	941.814286	0.194232	0.189321	0.197364	918	957	0	968
chr2	212589773	212589838	66	.	0.439394	1486.19697	0.306501	0.288106	0.310379	1397	1505	0	1516
chr2	212652717	212652812	96	.	0.34375	3649.697917	0.752685	0.705932	0.764915	3423	3709	0	3754
chr2	212812075	212812171	97	.	0.28866	1707.721649	0.352187	0.332446	0.3574	1612	1733	0	1747
chr3	10183767	10183854	88	.	0.738636	7324.613636	1.51057	1.270596	1.542822	6161	7481	0	7563
chr3	10188187	10188302	116	.	0.465517	4906.775862	1.011934	0.9332	1.033635	4525	5012	0	5120
chr3	10191422	10191521	100	.	0.52	6909.44	1.424948	1.327516	1.449605	6437	7029	0	7126
chr3	37067193	37067256	64	.	0.484375	2980.859375	0.614749	0.580131	0.625296	2813	3032	0	3062
chr3	41266039	41266140	102	.	0.529412	4229.22549	0.872202	0.667161	0.889479	3235	4313	0	4398
chr3	138665152	138665247	96	.	0.65625	633.510417	0.13065	0.101054	0.134257	490	651	0	664
chr3	178916808	178916963	156	.	0.358974	1603.275641	0.330647	0.233248	0.412464	1131	2000	0	3289
chr3	178921464	178921563	100	.	0.32	1048.85	0.216306	0.205407	0.220462	996	1069	0	1088
chr3	178927401	178927471	71	.	0.422535	1887.338028	0.38923	0.371011	0.395553	1799	1918	0	1941
chr3	178927920	178928005	86	.	0.267442	1472.616279	0.303701	0.25944	0.310998	1258	1508	0	1525
chr3	178928072	178928161	90	.	0.277778	1193.088889	0.246053	0.222524	0.250984	1079	1217	0	1236
chr3	178936024	178936108	85	.	0.376471	2514.341176	0.518538	0.504031	0.524036	2444	2541	0	2576
chr3	178938808	178938876	69	.	0.463768	1407.565217	0.290285	0.280888	0.293881	1362	1425	0	1439
chr3	178947813	178947887	75	.	0.4	2602.693333	0.536759	0.519705	0.542596	2520	2631	0	2654
chr3	178952002	178952107	106	.	0.396226	4270.066038	0.880624	0.845964	0.893191	4102	4331	0	4416
chr3	178952144	178952242	99	.	0.393939	2373.949495	0.489584	0.467734	0.497638	2268	2413	0	2445
chr4	1803565	1803646	82	.	0.743902	15712.060976	3.24033	1.604485	3.49687	7780	16956	0	32977
chr4	1803649	1803747	99	.	0.626263	16292.555556	3.360047	2.38693	3.497489	11574	16959	0	17588
chr4	1806066	1806156	91	.	0.637363	4212.351648	0.868722	0.763883	0.883292	3704	4283	0	4360
chr4	1807847	1807931	85	.	0.682353	1768.882353	0.3648	0.182515	0.410196	885	1989	0	2786
chr4	1808276	1808395	120	.	0.65	329.108333	0.067873	0.054858	0.070944	266	344	0	349
chr4	1808929	1809004	76	.	0.736842	1843.815789	0.380254	0.268308	0.391222	1301	1897	0	1934
chr4	55140995	55141088	94	.	0.414894	1197.755319	0.247016	0.224587	0.252428	1089	1224	0	1250
chr4	55144126	55144212	87	.	0.517241	1179.83908	0.243321	0.233248	0.247478	1131	1200	0	1223
chr4	55144476	55144559	84	.	0.416667	757.690476	0.15626	0.148487	0.159211	720	772	0	780
chr4	55152027	55152135	109	.	0.495413	8172.669725	1.685466	1.56097	1.707807	7569	8281	0	8472
chr4	55561697	55561861	165	.	0.478788	3219.442424	0.663952	0.309348	0.871743	1500	4227	0	5896
chr4	55592045	55592244	200	.	0.395	5487.535	1.131705	0.736867	1.535397	3573	7445	0	9704
chr4	55593423	55593513	91	.	0.351648	3954.945055	0.815636	0.68634	1.044359	3328	5064	0	6086
chr4	55593517	55593688	172	.	0.372093	4051.656977	0.835581	0.423394	1.038791	2053	5037	0	9043
chr4	55594146	55594261	116	.	0.396552	2298.146552	0.473951	0.440718	0.480521	2137	2330	0	2362
chr4	55595495	55595665	171	.	0.362573	2511.783626	0.51801	0.302542	0.679947	1467	3297	0	4973
chr4	55597458	55597617	160	.	0.43125	7569.03125	1.560977	1.453317	1.674398	7047	8119	0	15812
chr4	55599261	55599358	98	.	0.367347	6047.234694	1.247134	1.089111	1.266058	5281	6139	0	6243
chr4	55602666	55602766	101	.	0.445545	630.980198	0.130128	0.125183	0.132401	607	642	0	659
chr4	55946081	55946138	58	.	0.551724	22427.637931	4.625297	4.345515	4.704771	21071	22813	0	23113
chr4	55946227	55946270	44	.	0.590909	21829.931818	4.502031	3.961305	4.622485	19208	22414	0	22647
chr4	55953740	55953843	104	.	0.5	16049.721154	3.309967	2.827647	3.39561	13711	16465	0	17064
chr4	55955086	55955172	87	.	0.505747	1190.367816	0.245492	0.229742	0.250984	1114	1217	0	1247
chr4	55960946	55961033	88	.	0.522727	3092.477273	0.637768	0.615396	0.646125	2984	3133	0	3158
chr4	55962480	55962580	101	.	0.455446	2754.386139	0.568043	0.54239	0.576419	2630	2795	0	2845
chr4	55972947	55973028	82	.	0.329268	789.926829	0.162908	0.140032	0.165192	679	801	0	812
chr4	55979552	55979636	85	.	0.4	726.929412	0.149916	0.140856	0.152405	683	739	0	759
chr4	55980324	55980393	70	.	0.357143	768.542857	0.158498	0.155293	0.160036	753	776	0	782
chr4	153245379	153245470	92	.	0.402174	3334.326087	0.687645	0.669017	0.696446	3244	3377	0	3413
chr4	153247271	153247374	104	.	0.471154	1889.384615	0.389652	0.366887	0.397409	1779	1927	0	1984
chr4	153249376	153249478	103	.	0.436893	1244.980583	0.256755	0.24356	0.260884	1181	1265	0	1302
chr4	153250844	153250918	75	.	0.346667	535.68	0.110474	0.106003	0.111778	514	542	0	547
chr4	153258969	153259122	154	.	0.344156	2690.785714	0.554926	0.470621	0.642825	2282	3117	0	5614
chr5	112173875	112173970	96	.	0.46875	818.854167	0.168874	0.158386	0.172822	768	838	0	863
chr5	112174574	112174677	104	.	0.423077	1005.634615	0.207394	0.189527	0.212625	919	1031	0	1054
chr5	112175157	112175261	105	.	0.419048	1330.133333	0.274316	0.254697	0.279032	1235	1353	0	1369
chr5	112175324	112175432	109	.	0.486239	2108.550459	0.434851	0.375342	0.448142	1820	2173	0	2229
chr5	112175571	112175711	141	.	0.460993	6608.93617	1.362974	1.017755	1.593967	4935	7729	0	12459
chr5	112175747	112175839	93	.	0.419355	2579.462366	0.531968	0.441337	0.61684	2140	2991	0	3084
chr5	112175899	112175972	74	.	0.337838	3108.202703	0.641011	0.567138	0.787394	2750	3818	0	5497
chr5	112175979	112176076	98	.	0.336735	2584.163265	0.532937	0.427725	0.790075	2074	3831	0	3921
chr5	149433597	149433692	96	.	0.59375	602.135417	0.12418	0.10456	0.127451	507	618	0	632
chr5	149452993	149453083	91	.	0.549451	4270.857143	0.880788	0.780382	0.908865	3784	4407	0	4494
chr5	170837507	170837618	112	.	0.276786	711.232143	0.146679	0.012374	0.155705	60	755	0	867
chr7	55211045	55211113	69	.	0.405797	906.811594	0.187014	0.184371	0.189321	894	918	0	995
chr7	55221798	55221866	69	.	0.608696	1084.594203	0.223678	0.212213	0.22768	1029	1104	0	1117
chr7	55233013	55233121	109	.	0.614679	2786.623853	0.574691	0.500113	0.586318	2425	2843	0	2904
chr7	55241633	55241724	92	.	0.51087	5854.98913	1.207486	1.13077	1.230999	5483	5969	0	6086
chr7	55242388	55242540	153	.	0.464052	9839.019608	2.029121	1.671098	2.230399	8103	10815	0	18893
chr7	55249000	55249090	91	.	0.681319	37052.868132	7.641488	4.941938	8.063672	23963	39100	0	75519
chr7	55249124	55249213	90	.	0.533333	35252.7	7.270236	5.226951	7.937252	25345	38487	0	40233
chr7	55259503	55259567	65	.	0.507692	3657.430769	0.754279	0.736661	0.763883	3572	3704	0	3746
chr7	116339604	116339694	91	.	0.56044	2528.351648	0.521427	0.490007	0.534347	2376	2591	0	2673
chr7	116340223	116340337	115	.	0.391304	3135.756522	0.646693	0.580337	0.657261	2814	3187	0	3257
chr7	116403152	116403246	95	.	0.410526	1834.957895	0.378427	0.357813	0.388747	1735	1885	0	1947
chr7	116411898	116411997	100	.	0.45	1550.86	0.319837	0.307492	0.323991	1491	1571	0	1596
chr7	116417428	116417520	93	.	0.397849	3185.096774	0.656869	0.643031	0.665098	3118	3225	0	3280
chr7	116423409	116423485	77	.	0.38961	1372.844156	0.283124	0.278001	0.285425	1348	1384	0	1398
chr7	128845080	128845146	67	.	0.626866	4145.402985	0.854915	0.816266	0.870712	3958	4222	0	4320
chr7	128846013	128846082	70	.	0.5	5235.285714	1.079684	0.916701	1.113447	4445	5399	0	5494
chr7	128846364	128846421	58	.	0.655172	4134.862069	0.852741	0.681391	0.88556	3304	4294	0	4343
chr7	128850274	128850360	87	.	0.574713	2374.517241	0.489702	0.459897	0.496813	2230	2409	0	2453
chr7	128851524	128851601	78	.	0.602564	4261.512821	0.87886	0.728205	0.894222	3531	4336	0	4403
chr7	140453112	140453194	83	.	0.39759	1080.012048	0.222733	0.208088	0.226443	1009	1098	0	1116
chr7	140481386	140481481	96	.	0.46875	3984.302083	0.821691	0.790694	0.83359	3834	4042	0	4114
chr7	148508695	148508790	96	.	0.427083	2681.510417	0.553013	0.532491	0.560951	2582	2720	0	2770
chr8	38282141	38282220	80	.	0.65	1598.15	0.32959	0.320691	0.336364	1555	1631	0	1690
